,Entity,Year,Fossil fuels (% electricity),Renewables (% electricity),Per capita electricity (kWh),Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Aviation and shipping (per capita),Land-use change and forestry (per capita),Manufacturing and construction (per capita),Fugitive emissions (per capita),Agriculture (per capita),Buildings (per capita),Electricity and heat (per capita),Industry (per capita),Transport (per capita)_x,Waste (per capita),Carbon intensity of electricity (gCO2/kWh),Transport (per capita)_y,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
1107,Oman,2007,92.224609375,0.0,5435.49853515625,100.0,0.0,0.3763413727283478,0.0,4.617708683013916,5.919849872589111,0.4440828263759613,0.0903219282627105,6.269847393035889,0.7978436946868896,2.389767646789551,0.2408584803342819,452.1221618652344,2.322026252746582,0.0,0.0,0.0,0.0,0.0,121.62479400634766,0.008166667073965,51.76779556274414,0.0
1108,Oman,2008,92.72183227539062,0.0,5833.6083984375,99.99999237060548,0.0,1.8320903778076167,0.0,3.2316038608551025,5.83797025680542,0.4434821903705597,0.2653622925281524,6.277817726135254,0.8215326070785522,2.740865468978882,0.2435517013072967,454.26220703125,2.660893201828003,0.0,0.0,0.0,0.0,0.0,133.80410766601562,0.0139444442465901,70.15721130371094,0.0
1109,Oman,2009,90.80904388427734,0.0,6413.11083984375,99.99999237060548,0.0,1.3524855375289917,0.0,2.8961966037750244,5.688088893890381,0.4276496767997741,0.6988421678543091,6.512096405029297,0.8344383835792542,2.663249254226685,0.2399010360240936,445.0998229980469,2.586759090423584,0.0,0.0,0.0,0.0,0.0,135.47402954101562,0.016277777031064,66.96846008300781,0.0
1110,Oman,2010,94.00212097167967,0.0,6516.2333984375,100.0,0.0,1.6045057773590088,0.0,2.7289750576019287,5.405343532562256,0.4208539724349975,1.496004343032837,6.325961112976074,0.887738823890686,2.79144549369812,0.2334424406290054,460.676025390625,2.7125353813171387,0.0,0.0,0.0,0.0,0.0,163.8084259033203,0.3446063995361328,76.53600311279297,0.0
1111,Oman,2011,94.00619506835938,0.0,6727.2265625,100.0,0.0,0.9689022302627563,0.0,2.912858486175537,5.232071876525879,0.3998644053936004,2.2453925609588623,6.271719455718994,0.931991696357727,3.0266659259796143,0.2368427664041519,460.4291687011719,2.940541505813598,0.0,0.0,0.0,0.0,0.0,180.8238067626953,0.1183733344078064,80.79763793945312,0.0
1112,Oman,2012,94.01493072509766,0.0,7151.82421875,100.00001525878906,0.0,1.129206657409668,0.0,2.930219888687134,5.428768157958984,0.3802138864994049,2.744400978088379,6.1234450340271,1.0148566961288452,3.190366268157959,0.2372763454914093,460.4813232421875,3.098886251449585,0.0,0.0,0.0,0.0,0.0,197.15591430664065,0.3591394424438476,87.65480041503906,0.0
1113,Oman,2013,94.01668548583984,0.0045731668360531,6969.822265625,99.9989776611328,0.0010279703419655,1.112939476966858,0.0,2.7757081985473637,5.4053263664245605,0.4276449978351593,2.6535239219665527,5.790472507476807,0.9615371823310852,3.264445304870605,0.2364000231027603,460.74658203125,3.174135208129883,0.0,0.0032777776941657,0.0,0.0,0.0,217.27545166015625,0.5224438905715942,101.05799102783205,0.0
1114,Oman,2014,93.96955871582033,0.0041184616275131,7234.9765625,99.9989776611328,0.0010236643720418,1.3036174774169922,0.0,2.984663248062134,5.149909973144531,0.3997760117053985,2.450800895690918,5.678805828094482,0.8839768171310425,3.203174352645874,0.2358926832675933,460.5812683105469,3.113783359527588,0.0,0.0032500000670552,0.0,0.0,0.0,213.1425018310547,0.4157255589962005,103.9253921508789,0.0
1115,Oman,2015,93.99225616455078,0.0112949442118406,7676.447265625,99.99703216552734,0.0029717639554291,1.3122925758361816,0.0,2.9573450088500977,4.883603096008301,0.3866576254367828,2.669109344482422,5.614737510681152,0.8904842734336853,3.1869962215423584,0.2366813421249389,460.6506042480469,3.095604419708252,0.0,0.0099722221493721,0.0,0.0,0.0,230.46226501464844,0.5721902847290039,104.5213623046875,0.0
1116,Oman,2016,93.98819732666016,0.0122590763494372,7641.447265625,99.99665832519533,0.0033375413622707,1.5493779182434082,0.004465065896511,3.1813595294952397,5.025432109832764,0.3795306086540222,2.629923820495605,5.324591159820557,0.9198036193847656,2.853177309036255,0.232183426618576,460.4457702636719,2.770573616027832,0.0,0.0112222218886017,0.0,0.0,0.0,228.5784454345703,0.6405799984931946,107.01193237304688,0.0
1117,Oman,2017,94.00431823730467,0.04307147487998,7742.51416015625,99.98854064941406,0.011463476344943,1.073741793632507,0.0042863944545388,3.0219082832336426,4.646451950073242,0.3664867281913757,2.33394193649292,5.385854721069336,0.9494364261627196,2.715430974960327,0.2271789163351059,460.6100769042969,2.6361327171325684,0.0,0.0414097234606742,0.0,0.0,0.0,233.5087890625,0.8834947347640991,126.79811096191406,0.0
1118,Oman,2018,93.9969253540039,0.0416609235107898,7809.12939453125,99.98908233642578,0.010915677063167,1.8946155309677124,0.0041412361897528,2.84502911567688,4.702373504638672,0.3623581528663635,3.132845163345337,5.246945858001709,0.989755392074585,2.5882725715637207,0.2256973683834076,460.5716857910156,2.51373028755188,0.0,0.0415697209537029,0.0,0.0,0.0,249.96495056152344,0.8663694262504578,129.95297241210938,0.0
