,,,Petrol,,Adv Petrol,,,Diesel,,,Adv Diesel,,,CNG ,,,Hybrid ,,,Electric,,,Bikes,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity,Year,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Lux,Adv Econ,Adv Lux ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2010,0.4149,0.2371,0.0629,0,0,0,0.0015,0.2236,0.0454,0,0,0,0,0,0,0.0001,0.0009,0.0003,0,0,0,0.0056,0.0077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2011,0.4104,0.2348,0.0644,0,0,0,0.0015,0.2274,0.0481,0,0,0,0,0,0,0.0001,0.0009,0.0003,0,0,0,0.005,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2012,0.376,0.2081,0.0626,0,0,0,0.002,0.285,0.0538,0,0,0,0,0,0,0.0001,0.001,0.0002,0,0.0001,0,0.0047,0.0065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2013,0.3345,0.185,0.0575,0.0244,0.0134,0.0041,0.0021,0.2885,0.0547,0.0001,0.0198,0.0038,0,0,0,0.0002,0.0011,0.0002,0,0.0001,0,0.004,0.0055,0.0003,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2014,0.3173,0.1755,0.0565,0.0241,0.0131,0.0041,0.0025,0.3106,0.0593,0.0002,0.0214,0.0042,0,0,0,0.0002,0.0014,0.0002,0,0.0001,0,0.0037,0.005,0.0003,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2015,0.2998,0.1657,0.0553,0.0239,0.0128,0.0042,0.0028,0.3329,0.064,0.0002,0.023,0.0046,0,0,0,0.0002,0.0016,0.0002,0,0.0001,0,0.0034,0.0045,0.0003,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2004,0.3073,0.3237,0.0105,0,0,0,0.0013,0.1821,0.0448,0,0,0,0.0124,0.0131,0.0004,0,0,0,0,0,0,0.0614,0.043,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2005,0.292,0.3106,0.0107,0,0,0,0.0015,0.2068,0.0475,0,0,0,0.0121,0.0129,0.0004,0,0,0,0,0,0,0.0594,0.0461,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2006,0.2771,0.2986,0.0108,0,0,0,0.0016,0.2298,0.0503,0,0,0,0.012,0.0129,0.0005,0,0,0,0,0,0,0.0576,0.0489,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2007,0.2631,0.2875,0.0108,0,0,0,0.0018,0.2513,0.0523,0,0,0,0.0119,0.013,0.0005,0,0.0001,0.0001,0,0,0,0.0561,0.0515,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2008,0.2521,0.2794,0.0108,0,0,0,0.0019,0.2653,0.0536,0,0,0,0.0131,0.0146,0.0006,0,0.0001,0.0001,0,0,0,0.0547,0.0536,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2009,0.2395,0.2704,0.0108,0,0,0,0.002,0.2762,0.0546,0,0,0,0.0169,0.0191,0.0008,0.0001,0.0002,0.0001,0,0,0,0.0537,0.0557,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
