,Entity,Year,Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity)
61,Argentina,2001,81.14663696289062,36630001.068115234,116019996.6430664,95120002.74658205,16709999.084472656,6440000.057220459,17760000.228881836,37509998.3215332,40169998.16894531,19940000.534057617,22430000.30517578,7170000.076293945,4260000.228881836,15.937487602233888,50.6174201965332,41.0400390625
62,Argentina,2002,81.25931549072266,33840000.15258789,119629997.25341795,95150001.5258789,16950000.762939453,6110000.133514404,17190000.534057617,34669998.16894531,37340000.15258789,19020000.457763672,22350000.381469727,7210000.038146973,3880000.114440918,16.249305725097656,49.97799301147461,43.0101203918457
63,Argentina,2003,82.58988189697266,34560001.373291016,129699996.9482422,95300003.0517578,17200000.762939453,7079999.923706055,19120000.8392334,35430000.30517578,41900001.525878906,20469999.31335449,23209999.084472656,8449999.809265137,4110000.133514404,14.408259391784668,53.98168563842773,37.7573356628418
64,Argentina,2004,84.8929672241211,37169998.16894531,130809997.55859376,95449996.9482422,17450000.762939453,7920000.076293945,20129999.1607666,38110000.61035156,48759998.3215332,21899999.618530277,23540000.915527344,10069999.69482422,3980000.0190734863,12.185575485229492,60.75713348388672,31.320741653442383
65,Argentina,2005,84.8227767944336,37709999.084472656,130339996.33789062,95349998.4741211,17690000.534057617,8880000.114440918,20549999.237060547,38659999.84741211,50610000.61035156,22819999.69482422,22569999.69482422,10609999.656677246,4599999.904632568,12.78852367401123,60.171024322509766,33.29021072387695
66,Argentina,2006,84.01231384277344,40549999.23706055,133639999.38964844,95300003.0517578,17989999.771118164,11369999.885559082,22229999.542236328,41560001.373291016,53919998.16894531,22819999.69482422,22450000.762939453,11270000.457763672,4630000.114440918,13.449461936950684,58.56747055053711,34.5001106262207
67,Argentina,2007,87.13004302978516,43880001.068115234,136619995.1171875,95279998.77929688,18290000.915527344,13560000.4196167,21180000.30517578,44970001.220703125,54459999.084472656,26690000.534057617,21690000.534057617,12369999.885559082,5210000.038146973,10.599154472351074,64.73139953613281,28.4982967376709
68,Argentina,2008,87.29216766357422,45849998.47412109,134009994.50683594,95370002.74658205,18590000.15258789,15520000.457763672,20770000.457763672,47000000.0,59169998.16894531,25329999.92370605,21889999.38964844,11989999.771118164,5590000.152587891,10.437064170837402,67.03441619873047,26.61720466613769
69,Argentina,2009,85.64727020263672,42020000.45776367,123500000.0,95500000.0,18889999.38964844,17299999.237060547,17639999.389648438,43090000.15258789,57290000.915527344,24889999.38964844,20540000.915527344,10659999.84741211,5500000.0,11.783506393432615,63.54575347900391,29.30204963684082
70,Argentina,2010,86.16850280761719,44200000.76293945,116610000.61035156,95220001.22070312,19190000.534057617,19629999.1607666,19129999.1607666,45459999.084472656,59520000.45776367,28399999.618530277,20010000.22888184,11659999.84741211,6619999.885559082,11.661375045776367,66.20763397216797,27.64278221130371
