Entity,Code,Year,Solar (TWh growth - equivalent),Coal (TWh growth),Gas (TWh growth),Other renewables (TWh growth - equivalent),Nuclear (TWh growth - equivalent),Hydro (TWh growth - equivalent),Wind (TWh growth - equivalent),Oil (TWh growth)
Other Middle East (BP),,2020,0.9339685440063477,-0.7686676979064941,-0.350799560546875,0.0003058314323425293,,0.17766094207763672,1.3148949146270752,-32.654754638671875
Other Middle East (BP),,2021,-0.03726816177368164,-0.34286952018737793,10.633071899414062,-0.00033639371395111084,0,-0.5391640663146973,0.6956589221954346,9.9765625
Other Middle East (BP),,1966,,-0.003131665289402008,0.09724998474121094,,,0.14784932136535645,,1.5437583923339844
Other Middle East (BP),,1967,,0.003117777407169342,0,,,0.3784945011138916,,1.1665763854980469
Other Middle East (BP),,1968,,0.0016405507922172546,2.0482497215270996,,,0.23655915260314941,,2.4376792907714844
Other Middle East (BP),,1969,,0.007841110229492188,0.3905003070831299,,,0.4080648422241211,,2.1822662353515625
Other Middle East (BP),,1970,,-0.0019174963235855103,3.4774200916290283,,,-0.0709679126739502,,4.268348693847656
Other Middle East (BP),,1971,,0.004803329706192017,2.9772796630859375,,,-0.11236572265625,,2.8736724853515625
Other Northern Africa (BP),,1972,0,0.011629998683929443,3.379500389099121,0,0,0.008871108293533325,0,3.916187286376953
Other Northern Africa (BP),,1973,0,0.011629998683929443,4.711248874664307,0,0,0.053225547075271606,0,6.893579483032227
Other Northern Africa (BP),,1974,0,0.011630013585090637,1.3572511672973633,0,0,-0.14489221572875977,0,2.7477760314941406
Other Northern Africa (BP),,1975,0,0.03488999605178833,5.211499214172363,0,0,0.0266127809882164,0,0.6454429626464844
Other Northern Africa (BP),,1976,0,-0.04652000963687897,-2.4302501678466797,0,0,0.06505388021469116,0,13.116413116455078
Other Northern Africa (BP),,1977,0,-0.09303998947143555,1.8972511291503906,0,0,-0.0680108293890953,0,7.655055999755859
Other Northern Africa (BP),,1978,0,0.04651999473571777,2.9365005493164062,0,0,-0.005913890898227692,0,6.070098876953125
Other Northern Africa (BP),,1979,0,0.03488999605178833,20.561748504638672,0,0,0.03548361361026764,0,6.258544921875
Other Northern Africa (BP),,1980,0,-0.0814099907875061,-4.503749847412109,0,0,-0.050268612802028656,0,10.9727783203125
Other Northern Africa (BP),,1981,0,0.03488999605178833,-1.7949981689453125,0,0,0.01774194836616516,0,10.082839965820312
Other Northern Africa (BP),,1982,0,-0.0814099907875061,-4.291501998901367,0,0,0.02956971526145935,0,5.8929901123046875
Other Northern Africa (BP),,1983,0,0.09303998947143555,1.0162506103515625,0,0,-0.026612773537635803,0,8.562301635742188
Other Northern Africa (BP),,1984,0,-0.023259997367858887,2.713499069213867,0,0,0.10940860956907272,0,-5.40875244140625
Other Northern Africa (BP),,1985,0,-0.023259997367858887,12.546497344970703,0,0,0.12419360876083374,0,4.8101806640625
Other Northern Africa (BP),,1986,0,-0.06977999955415726,7.766002655029297,0,0,-0.1685486137866974,0,-3.8124237060546875
Other Northern Africa (BP),,1987,0,0.03488999605178833,0.37725067138671875,0,0,0.18037638068199158,0,16.450401306152344
Other Northern Africa (BP),,1988,0,0.09304001182317734,0.02774810791015625,0,0,-0.19516108930110931,0,2.9225921630859375
Other Northern Africa (BP),,1989,0,0,12.720001220703125,0,0,-0.038441114127635956,0,1.1334686279296875
Other Northern Africa (BP),,1990,0,-0.10467000305652618,-5.315502166748047,0,0,0.029569990932941437,0,0.1948089599609375
Other Northern Africa (BP),,1991,0,-0.023260004818439484,-3.8199996948242188,0,0,0.17978501319885254,0,2.1603546142578125
Other Northern Africa (BP),,1992,0,0.023260004818439484,4.9785003662109375,0,0,-0.11739251017570496,0,-5.352531433105469
Other Northern Africa (BP),,1993,0,0,-2.4150009155273438,0,0,-0.003252774477005005,0,14.150894165039062
Other Northern Africa (BP),,1994,0,-0.10467000305652618,7.083499908447266,0,0,-0.07096777856349945,0,10.835830688476562
Other Northern Africa (BP),,1995,0,0,4.338470458984375,0,0,-0.0029569491744041443,0,7.4864501953125
Other Northern Africa (BP),,1996,0,0,4.296173095703125,0,0,0.08279583603143692,0,1.1583404541015625
