Year,Month,Make,Model,Quantity,Type of engine
2008,6,Nissan ,Nissan Qashqai,322,gas
2008,6,Toyota ,Toyota Auris,316,gas
2008,6,Volvo ,Volvo V70,311,gas
2008,6,Volkswagen ,Volkswagen Passat,300,gas
2008,6,Toyota ,Toyota Avensis,278,gas
2008,6,Ford ,Ford Focus,237,gas
2008,6,Audi ,Audi A3,224,gas
2008,6,Skoda ,Skoda Octavia,220,gas
2008,6,BMW ,BMW 3-serie,207,gas
2008,6,Mazda ,Mazda 6,189,gas
2008,6,Volkswagen ,Volkswagen Tiguan,182,gas
2008,6,Mitsubishi ,Mitsubishi Outlander,180,gas
2008,6,Toyota ,Toyota Yaris,144,gas
2008,6,Peugeot ,Peugeot 207,138,gas
2008,6,Honda ,Honda CR-V,136,gas
2008,6,Nissan ,Nissan X-Trail,125,gas
2008,6,Toyota ,Toyota Rav4,123,gas
2008,7,Ford ,Ford Mondeo,548,gas
2008,7,Volkswagen ,Volkswagen Golf,437,gas
2008,7,Audi ,Audi A4,384,gas
2008,7,Toyota ,Toyota Avensis,346,gas
2008,7,Toyota ,Toyota Auris,303,gas
2008,7,Nissan ,Nissan Qashqai,268,gas
2008,7,Volvo ,Volvo V70,267,gas
2008,7,Mazda ,Mazda 6,228,gas
2008,7,Peugeot ,Peugeot 308,220,gas
2008,7,Ford ,Ford Focus,210,gas
2008,7,Volkswagen ,Volkswagen Passat,205,gas
2008,7,Volkswagen ,Volkswagen Tiguan,199,gas
2008,7,Mitsubishi ,Mitsubishi Outlander,194,gas
2008,7,Peugeot ,Peugeot 207,185,gas
2008,7,Toyota ,Toyota Rav4,181,gas
2008,7,Skoda ,Skoda Octavia,167,gas
2008,7,Toyota ,Toyota Yaris,164,gas
2008,7,Honda ,Honda CR-V,145,gas
2008,7,BMW ,BMW 3-serie,140,gas
2008,7,Audi ,Audi A3,120,gas
2008,8,Volkswagen ,Volkswagen Golf,418,gas
2008,8,Audi ,Audi A4,363,gas
2008,8,Volkswagen ,Volkswagen Tiguan,354,gas
2008,8,Ford ,Ford Mondeo,253,gas
2008,8,Toyota ,Toyota Auris,251,gas
2008,8,Volkswagen ,Volkswagen Passat,245,gas
2008,8,Toyota ,Toyota Avensis,221,gas
2008,8,Ford ,Ford Focus,213,gas
2008,8,Mazda ,Mazda 6,195,gas
2008,8,Nissan ,Nissan Qashqai,193,gas
2008,8,Peugeot ,Peugeot 308,186,gas
2008,8,Peugeot ,Peugeot 207,164,gas
2008,8,Toyota ,Toyota Yaris,141,gas
2008,8,Skoda ,Skoda Octavia,139,gas
2008,8,Mitsubishi ,Mitsubishi Outlander,135,gas
2008,8,Audi ,Audi A3,128,gas
2008,8,Honda ,Honda CR-V,121,gas
2008,8,Volvo ,Volvo V70,120,gas
2008,8,Toyota ,Toyota Rav4,98,gas
2008,8,BMW ,BMW 3-serie,86,gas
2008,9,Volkswagen ,Volkswagen Golf,401,gas
2008,9,Ford ,Ford Mondeo,327,gas
2008,9,Volkswagen ,Volkswagen Passat,326,gas
2008,9,Audi ,Audi A4,299,gas
2008,9,Toyota ,Toyota Auris,293,gas
2008,9,Toyota ,Toyota Avensis,255,gas
2008,9,Ford ,Ford Focus,251,gas
2008,9,Volvo ,Volvo V70,233,gas
2008,9,Volkswagen ,Volkswagen Tiguan,225,gas
2008,9,BMW ,BMW 3-serie,219,gas
2008,9,Toyota ,Toyota Rav4,216,gas
2008,9,Nissan ,Nissan Qashqai,209,gas
2008,9,Mazda ,Mazda 6,202,gas
2008,9,Mitsubishi ,Mitsubishi Outlander,182,gas
2008,9,Toyota ,Toyota Yaris,176,gas
2008,9,Skoda ,Skoda Octavia,152,gas
2008,9,Peugeot ,Peugeot 308,143,gas
2008,9,Audi ,Audi A3,136,gas
2008,9,Honda ,Honda CR-V,122,gas
2008,9,Peugeot ,Peugeot 207,100,gas
2008,10,Volkswagen ,Volkswagen Golf,459,gas
2008,10,Audi ,Audi A4,337,gas
2008,10,Volkswagen ,Volkswagen Passat,334,gas
2008,10,Toyota ,Toyota Auris,332,gas
2008,10,Ford ,Ford Mondeo,322,gas
2008,10,Volkswagen ,Volkswagen Tiguan,264,gas
2008,10,Nissan ,Nissan Qashqai,246,gas
2008,10,Toyota ,Toyota Avensis,229,gas
2008,10,Toyota ,Toyota Rav4,224,gas
2008,10,Peugeot ,Peugeot 308,215,gas
2008,10,BMW ,BMW 3-serie,196,gas
2008,10,Toyota ,Toyota Yaris,194,gas
2008,10,Ford ,Ford Focus,192,gas
2008,10,Volvo ,Volvo V70,185,gas
2008,10,Mazda ,Mazda 6,153,gas
2008,10,Mitsubishi ,Mitsubishi Outlander,125,gas
2008,10,Audi ,Audi A3,120,gas
2008,10,Skoda ,Skoda Octavia,117,gas
2008,10,Peugeot ,Peugeot 207,113,gas
2008,10,Honda ,Honda CR-V,91,gas
2008,11,Volkswagen ,Volkswagen Passat,342,gas
2008,11,Volkswagen ,Volkswagen Golf,307,gas
2008,11,Volkswagen ,Volkswagen Tiguan,293,gas
2008,11,Ford ,Ford Mondeo,271,gas
2008,11,Audi ,Audi A4,248,gas
2008,11,Toyota ,Toyota Auris,209,gas
2008,11,Nissan ,Nissan Qashqai,204,gas
2008,11,Ford ,Ford Focus,174,gas
2008,11,Toyota ,Toyota Avensis,166,gas
2008,11,Toyota ,Toyota Yaris,158,gas
2008,11,Peugeot ,Peugeot 308,145,gas
2008,11,Volvo ,Volvo V70,139,gas
2008,11,BMW ,BMW 3-serie,124,gas
2008,11,Skoda ,Skoda Octavia,117,gas
2008,11,Peugeot ,Peugeot 207,115,gas
2008,11,Mitsubishi ,Mitsubishi Outlander,110,gas
2008,11,Mazda ,Mazda 6,109,gas
2008,11,Honda ,Honda CR-V,102,gas
2008,11,Audi ,Audi A3,93,gas
2008,11,Toyota ,Toyota Rav4,77,gas
2008,12,Toyota ,Toyota Avensis,450,gas
2008,12,Ford ,Ford Mondeo,349,gas
2008,12,Volkswagen ,Volkswagen Passat,348,gas
2008,12,Volkswagen ,Volkswagen Golf,319,gas
2008,12,Volkswagen ,Volkswagen Tiguan,312,gas
2008,12,Audi ,Audi A4,311,gas
2008,12,Volvo ,Volvo V70,201,gas
2008,12,Nissan ,Nissan Qashqai,200,gas
2008,12,Honda ,Honda CR-V,198,gas
2008,12,BMW ,BMW 3-serie,189,gas
2008,12,Ford ,Ford Focus,188,gas
2008,12,Skoda ,Skoda Octavia,181,gas
2008,12,Toyota ,Toyota Auris,158,gas
2008,12,Mitsubishi ,Mitsubishi Outlander,149,gas
2008,12,Volvo ,Volvo V50,142,gas
2008,12,Toyota ,Toyota Rav4,104,gas
2008,12,Mazda ,Mazda 6,87,gas
2008,12,Audi ,Audi A3,77,gas
2008,12,Peugeot ,Peugeot 308,73,gas
2008,12,Toyota ,Toyota Yaris,53,gas
2009,1,Toyota ,Toyota Avensis,400,gas
2009,1,Volkswagen ,Volkswagen Golf,318,gas
2009,1,Ford ,Ford Focus,177,gas
2009,1,Volkswagen ,Volkswagen Passat,161,gas
2009,1,Ford ,Ford Mondeo,154,gas
2009,1,Volvo ,Volvo XC60,136,gas
2009,1,Toyota ,Toyota Prius,135,EV/Hybrid
2009,1,Nissan ,Nissan Qashqai,130,gas
2009,1,Peugeot ,Peugeot 308,126,gas
2009,1,Volvo ,Volvo V50,126,gas
2009,1,Toyota ,Toyota Auris,125,gas
2009,1,Opel ,Opel Insignia,117,EV/Hybrid
2009,1,Mazda ,Mazda 6,97,gas
2009,1,Skoda ,Skoda Octavia,92,gas
2009,1,Ford ,Ford Fiesta,91,gas
2009,1,Audi ,Audi A4,89,gas
2009,1,Toyota ,Toyota Yaris,88,gas
2009,1,Peugeot ,Peugeot 207,83,gas
2009,1,Subaru ,Subaru Impreza,83,gas
2009,1,Volkswagen ,Volkswagen Tiguan,80,gas
2009,2,Volkswagen ,Volkswagen Golf,339,gas
2009,2,Volkswagen ,Volkswagen Passat,245,gas
2009,2,Toyota ,Toyota Avensis,222,gas
2009,2,Skoda ,Skoda Octavia,197,gas
2009,2,Toyota ,Toyota Yaris,177,gas
2009,2,Ford ,Ford Mondeo,173,gas
2009,2,Toyota ,Toyota Auris,169,gas
2009,2,Volkswagen ,Volkswagen Tiguan,143,gas
2009,2,Ford ,Ford Focus,142,gas
2009,2,Nissan ,Nissan Qashqai,142,gas
